CE9,Antarctica,13,SA,13,74,-90.00,0.00,0.0,3Y ANT AX0 AY1Z AY2Z AY3Z AY4Z AY5Z AY6Z AY7Z AY8Z AY9Z FT0Y FT1Y FT2Y FT4Y FT5Y FT8Y LU1Z LU2Z LU3Z LU4Z LU5Z LU6Z LU7Z LU8Z LU9Z R1AN RI1AN VI0 VK0 ZL5 ZM5 ZS7 =K9PET/KC4 =3Y8XSA =8J1RL =DP0GVN =DP1POL =I0QHM/IA0PS =II0AMZS =KC4/FT5YK =KC4/WA2DKJ =KC4/WB9YSD =KC4AAA =KC4AAC =KC4USB =KC4USV =LU/FT5YK =OJ1ABOA =R1ANP =R1ANR =RI1ANC/A =RI1ANR =SM/OH2FFP =VK0BFG =VP8ADE/B =VP8DLM =VP8DMH/P;
CM,Cuba,70,NA,8,11,21.50,80.00,5.0,CL CM CO T4;
CN,Morocco,446,AF,33,37,32.00,5.00,0.0,5C 5D 5E 5F 5G CN;
CP,Bolivia,104,SA,10,12,-17.00,65.00,4.0,CP;
CT,Portugal,272,EU,14,37,39.50,8.00,0.0,CQ CR CS CT;
CT3,Madeira Islands,256,AF,33,36,32.75,16.95,0.0,CQ2 CQ3 CQ9 CR3 CR9 CS3 CS9 CT3 CT9;
CU,Azores,149,EU,14,36,38.70,27.23,1.0,CQ1 CQ8 CR1 CR2 CR8 CS4 CS8 CT8 CU;
CX,Uruguay,144,SA,13,14,-33.00,56.00,3.0,CV CW CX;
CY0,Sable Island,211,NA,5,9,43.93,59.90,4.0,CY0;
CY9,St. Paul Island,252,NA,5,9,47.00,60.00,4.0,CY9;
D2,Angola,401,AF,36,52,-12.50,-18.50,-1.0,D2 D3;
D4,Cape Verde,409,AF,35,46,16.00,24.00,1.0,D4;
D6,Comoros,411,AF,39,53,-11.63,-43.30,-3.0,D6;
DL,Germany,230,EU,14,28,51.00,-10.00,-1.0,DA DB DC DD DE DF DG DH DI DJ DK DL DM DN DO DP DQ DR;
DU,Philippines,375,OC,27,50,13.00,-122.00,-8.0,4D 4E 4F 4G 4H 4I DU DV DW DX DY DZ;
E3,Eritrea,51,AF,37,48,15.00,-39.00,-3.0,E3;
E4,Palestine,510,AS,20,39,31.28,-34.27,-2.0,E4;
E5/n,North Cook Islands,191,OC,32,62,-10.02,161.08,10.0,=E51WL;
E5/s,South Cook Islands,234,OC,32,62,-21.90,157.93,10.0,E5;
